날짜,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄
2020-11-13,61.0,6.0,
2020-11-14,6.0,,
2020-11-15,13.0,,
2020-11-16,32.0,,
2020-11-17,,6.0,
2020-11-18,10.0,,
2020-11-19,6.0,23.0,
2020-11-20,35.0,19.0,
2020-11-21,,16.0,
2020-11-22,3.0,,
2020-11-23,16.0,10.0,
2020-11-24,29.0,3.0,
2020-11-25,58.0,6.0,
2020-11-26,,10.0,
2020-11-27,,3.0,
2020-11-29,3.0,,
2020-12-01,,3.0,
2020-12-02,,6.0,
2020-12-04,,10.0,
2020-12-05,,6.0,
2020-12-06,3.0,6.0,
2020-12-07,13.0,,
2020-12-08,,19.0,
2020-12-09,3.0,26.0,
2020-12-10,,13.0,
2020-12-11,16.0,,
2020-12-12,19.0,3.0,
2020-12-13,3.0,3.0,
2020-12-15,10.0,3.0,
2020-12-16,,10.0,
2020-12-17,,3.0,
2020-12-18,6.0,16.0,
2020-12-19,,3.0,
2020-12-20,19.0,10.0,
2020-12-21,6.0,10.0,
2020-12-22,,6.0,
2020-12-23,3.0,6.0,
2020-12-24,3.0,,
2020-12-25,6.0,,
2020-12-26,,13.0,
2020-12-27,,16.0,
2020-12-29,13.0,42.0,
2020-12-30,10.0,39.0,
2020-12-31,3.0,10.0,
2021-01-01,6.0,13.0,
2021-01-02,10.0,3.0,
2021-01-03,3.0,,
2021-01-04,16.0,26.0,
2021-01-05,13.0,3.0,
2021-01-07,3.0,,
2021-01-08,13.0,13.0,
2021-01-09,,3.0,
2021-01-10,6.0,,
2021-01-11,,3.0,
2021-01-13,,6.0,
2021-01-14,19.0,3.0,
2021-01-15,10.0,3.0,
2021-01-16,,6.0,
2021-01-17,3.0,10.0,
2021-01-18,,16.0,
2021-01-19,19.0,10.0,
2021-01-20,3.0,13.0,
2021-01-21,10.0,,
2021-01-22,19.0,6.0,
2021-01-23,,6.0,
2021-01-24,26.0,6.0,
2021-01-25,35.0,,
2021-01-26,,3.0,
2021-01-27,3.0,3.0,
2021-01-28,26.0,,
2021-01-29,3.0,3.0,
2021-01-30,10.0,,
2021-01-31,6.0,3.0,
2021-02-01,,16.0,
2021-02-02,29.0,,
2021-02-03,39.0,19.0,
2021-02-04,16.0,6.0,
2021-02-05,6.0,,
2021-02-06,32.0,,
2021-02-07,3.0,,
2021-02-08,19.0,,
2021-02-09,3.0,6.0,6.0
2021-02-10,13.0,,
2021-02-11,29.0,61.0,
2021-02-12,3.0,,
2021-02-13,10.0,,
2021-02-14,6.0,26.0,10.0
2021-02-15,10.0,32.0,
2021-02-16,23.0,19.0,
2021-02-17,19.0,,
2021-02-18,19.0,10.0,
2021-02-19,3.0,10.0,
2021-02-20,6.0,,
2021-02-21,6.0,6.0,
2021-02-22,6.0,19.0,
2021-02-23,6.0,29.0,
2021-02-24,13.0,,
2021-02-25,,10.0,
2021-02-26,,16.0,
2021-02-27,,3.0,
2021-02-28,29.0,,
2021-03-01,,10.0,
2021-03-02,19.0,,
2021-03-03,3.0,42.0,
2021-03-04,,23.0,
2021-03-05,6.0,,
2021-03-06,10.0,23.0,
2021-03-07,32.0,3.0,
2021-03-08,35.0,10.0,
2021-03-09,,,6.0
2021-03-10,,6.0,
2021-03-11,,6.0,
2021-03-12,6.0,,
2021-03-13,19.0,3.0,
2021-03-14,10.0,,
2021-03-15,23.0,13.0,
2021-03-16,65.0,6.0,
2021-03-17,,3.0,
2021-03-18,,10.0,
2021-03-19,3.0,,
2021-03-20,3.0,,
2021-03-22,3.0,23.0,
2021-03-23,3.0,,
2021-03-24,10.0,3.0,
2021-03-25,,87.0,
2021-03-26,,10.0,
2021-03-27,,3.0,
2021-03-28,,23.0,
2021-03-29,,6.0,
2021-03-31,19.0,,
2021-04-01,3.0,,
2021-04-02,,3.0,
2021-04-03,52.0,6.0,
2021-04-04,6.0,13.0,
2021-04-05,6.0,6.0,
2021-04-06,,16.0,3.0
2021-04-07,,16.0,6.0
2021-04-08,10.0,19.0,
2021-04-09,,16.0,
2021-04-10,6.0,,
2021-04-13,3.0,6.0,10.0
2021-04-14,3.0,,23.0
2021-04-15,,10.0,
2021-04-16,6.0,,
2021-04-17,,6.0,
2021-04-18,13.0,,3.0
2021-04-19,,,3.0
2021-04-20,,6.0,
2021-04-21,42.0,,
2021-04-23,6.0,3.0,
2021-04-25,,,6.0
2021-04-26,3.0,3.0,
2021-04-27,3.0,,
2021-04-29,16.0,6.0,
2021-04-30,35.0,,
2021-05-01,,3.0,3.0
2021-05-02,3.0,,
2021-05-04,,13.0,
2021-05-05,,10.0,
2021-05-06,,13.0,
2021-05-08,19.0,3.0,
2021-05-09,10.0,3.0,
2021-05-10,,3.0,
2021-05-11,16.0,16.0,
2021-05-12,6.0,,
2021-05-13,16.0,10.0,
2021-05-14,,10.0,6.0
2021-05-16,,,6.0
2021-05-17,13.0,,16.0
2021-05-18,3.0,,
2021-05-19,6.0,,
2021-05-20,,3.0,
2021-05-22,3.0,,
2021-05-23,13.0,,13.0
2021-05-24,,13.0,
2021-05-28,10.0,16.0,
2021-05-29,6.0,16.0,
2021-05-30,,6.0,
2021-05-31,13.0,,10.0
2021-06-05,,3.0,
2021-06-06,,3.0,
2021-06-09,16.0,13.0,
2021-06-12,,,3.0
2021-06-13,,13.0,
2021-06-15,,10.0,
2021-06-19,,6.0,
2021-06-20,32.0,10.0,3.0
2021-06-26,10.0,,
2021-06-30,,26.0,
2021-07-01,,19.0,
2021-07-04,,,6.0
2021-07-05,,6.0,
2021-07-09,6.0,,
2021-07-11,10.0,,
2021-07-13,19.0,6.0,
2021-07-14,13.0,,
2021-07-16,,6.0,
2021-07-19,6.0,,
2021-07-20,6.0,13.0,
2021-07-22,6.0,3.0,
2021-07-23,,6.0,
2021-07-26,,,6.0
2021-07-27,,10.0,
2021-07-29,19.0,,
2021-07-31,,,3.0
2021-08-01,,6.0,
2021-08-02,13.0,,
2021-08-03,6.0,3.0,
2021-08-05,13.0,,
2021-08-06,3.0,19.0,
2021-08-07,,3.0,
2021-08-08,,6.0,
2021-08-09,3.0,,
2021-08-10,,10.0,
2021-08-11,,16.0,
2021-08-12,,23.0,
2021-08-13,16.0,10.0,
2021-08-14,,6.0,19.0
2021-08-15,,,6.0
2021-08-16,3.0,19.0,
2021-08-17,,19.0,
2021-08-18,16.0,,
2021-08-19,3.0,13.0,
2021-08-20,23.0,6.0,
2021-08-21,3.0,,
2021-08-23,,,3.0
2021-08-24,,6.0,
2021-08-27,,16.0,
2021-08-28,3.0,,
2021-09-01,,,6.0
2021-09-02,23.0,,3.0
2021-09-03,3.0,,
2021-09-04,19.0,,
2021-09-06,3.0,,
2021-09-07,,,3.0
2021-09-08,16.0,,
2021-09-10,,,6.0
2021-09-12,,3.0,
2021-09-13,6.0,10.0,10.0
2021-09-14,26.0,,
2021-09-15,13.0,,
2021-09-16,3.0,3.0,
2021-09-19,10.0,6.0,
2021-09-22,6.0,3.0,
2021-09-23,,29.0,
2021-09-24,,3.0,
2021-09-25,,6.0,
2021-09-26,19.0,32.0,
2021-09-27,,3.0,
2021-09-28,6.0,52.0,
2021-09-29,23.0,10.0,
2021-10-01,6.0,19.0,
2021-10-02,10.0,,
2021-10-03,,16.0,
2021-10-04,,,10.0
2021-10-07,,45.0,
2021-10-09,,3.0,
2021-10-10,,,3.0
2021-10-11,,10.0,
2021-10-12,,,6.0
2021-10-13,6.0,,
2021-10-14,13.0,6.0,
2021-10-15,,13.0,
2021-10-16,,3.0,
2021-10-17,,6.0,
2021-10-18,3.0,16.0,
2021-10-19,6.0,68.0,
2021-10-20,,65.0,
2021-10-21,,71.0,
2021-10-22,3.0,,
2021-10-23,13.0,,
2021-10-24,,10.0,
2021-10-25,6.0,6.0,
2021-10-26,3.0,13.0,
2021-10-27,,3.0,
2021-10-28,,,6.0
2021-10-29,,,3.0
2021-10-30,13.0,10.0,
2021-10-31,6.0,,
2021-11-01,,10.0,6.0
2021-11-02,,10.0,
2021-11-03,6.0,100.0,
2021-11-04,,13.0,
2021-11-05,,6.0,10.0
2021-11-06,,6.0,
2021-11-07,13.0,,
2021-11-08,,6.0,10.0
2021-11-09,,35.0,
2021-11-12,3.0,,
2021-11-13,10.0,23.0,
