날짜,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드
2020-11-13,,66.0,,
2020-11-14,,11.0,,
2020-11-15,,15.0,,
2020-11-16,,33.0,,
2020-11-17,,9.0,,
2020-11-18,,4.0,,
2020-11-19,,47.0,,
2020-11-20,,18.0,,
2020-11-21,,43.0,,
2020-11-22,,32.0,,
2020-11-23,,25.0,,
2020-11-24,,27.0,,
2020-11-25,,33.0,,3.0
2020-11-26,,23.0,,
2020-11-27,,59.0,,
2020-11-28,,23.0,,
2020-11-29,,18.0,,1.0
2020-11-30,,33.0,,
2020-12-01,,6.0,,
2020-12-02,,19.0,,
2020-12-03,,65.0,,
2020-12-04,,24.0,,
2020-12-05,,13.0,,
2020-12-06,,30.0,,
2020-12-07,,14.0,,4.0
2020-12-08,,28.0,,9.0
2020-12-09,,62.0,,
2020-12-10,,58.0,,
2020-12-11,,54.0,,
2020-12-12,,49.0,,
2020-12-13,,24.0,,
2020-12-14,,32.0,,
2020-12-15,,23.0,,
2020-12-16,,38.0,,
2020-12-17,,15.0,,
2020-12-18,,44.0,,
2020-12-19,,13.0,,
2020-12-20,,19.0,,
2020-12-21,,16.0,,
2020-12-22,,13.0,,
2020-12-23,,49.0,,
2020-12-24,,29.0,,
2020-12-25,,32.0,,
2020-12-26,,19.0,,
2020-12-27,,24.0,,
2020-12-28,,49.0,,
2020-12-29,,20.0,,
2020-12-30,,34.0,,
2020-12-31,,24.0,,
2021-01-01,,28.0,,
2021-01-02,,47.0,,
2021-01-03,,56.0,,
2021-01-04,,44.0,,1.0
2021-01-05,,42.0,,
2021-01-06,,35.0,,
2021-01-07,,13.0,,1.0
2021-01-08,,42.0,,
2021-01-09,,49.0,,
2021-01-10,,61.0,,3.0
2021-01-11,,78.0,,
2021-01-12,,52.0,,
2021-01-13,,22.0,,
2021-01-14,,24.0,,
2021-01-15,,49.0,,1.0
2021-01-16,,73.0,,
2021-01-17,,58.0,,
2021-01-18,,70.0,,
2021-01-19,,25.0,,
2021-01-20,,38.0,,
2021-01-21,,33.0,,
2021-01-22,,27.0,,3.0
2021-01-23,,44.0,,
2021-01-24,,44.0,,1.0
2021-01-25,,13.0,,
2021-01-26,,66.0,,
2021-01-27,,73.0,,
2021-01-28,,29.0,,
2021-01-29,,32.0,,
2021-01-30,,58.0,,
2021-01-31,,76.0,,
2021-02-01,,32.0,,
2021-02-02,,53.0,,
2021-02-03,,22.0,,4.0
2021-02-04,,58.0,,
2021-02-05,,56.0,,
2021-02-06,,24.0,,
2021-02-07,,54.0,,
2021-02-08,,28.0,,
2021-02-09,,43.0,,
2021-02-10,,48.0,,
2021-02-11,,51.0,,
2021-02-12,,46.0,,
2021-02-13,,49.0,,8.0
2021-02-14,,20.0,,1.0
2021-02-15,,58.0,,16.0
2021-02-16,,34.0,,
2021-02-17,,28.0,,
2021-02-18,,46.0,,1.0
2021-02-19,,43.0,,
2021-02-20,,41.0,,
2021-02-21,,46.0,1.0,1.0
2021-02-22,,20.0,,
2021-02-23,,20.0,,6.0
2021-02-24,,24.0,,4.0
2021-02-25,,33.0,1.0,
2021-02-26,,30.0,,4.0
2021-02-27,,25.0,,
2021-02-28,,29.0,,
2021-03-01,,32.0,,1.0
2021-03-02,,37.0,,6.0
2021-03-03,,39.0,,
2021-03-04,,10.0,,
2021-03-05,,11.0,,
2021-03-06,,19.0,,
2021-03-07,,23.0,,
2021-03-08,,10.0,,
2021-03-09,,15.0,,
2021-03-10,,41.0,,
2021-03-11,,28.0,,
2021-03-12,,25.0,,
2021-03-13,,62.0,,
2021-03-14,,10.0,,
2021-03-15,,28.0,,
2021-03-16,,32.0,,
2021-03-17,,43.0,,
2021-03-18,,46.0,,
2021-03-19,,14.0,,
2021-03-20,,37.0,,
2021-03-21,,33.0,,
2021-03-22,,32.0,,
2021-03-23,,39.0,,
2021-03-24,,10.0,,
2021-03-25,,41.0,,
2021-03-26,,25.0,,
2021-03-27,,23.0,,
2021-03-28,,16.0,,
2021-03-29,,73.0,,
2021-03-30,,1.0,,
2021-03-31,,19.0,,1.0
2021-04-01,,24.0,,
2021-04-02,,22.0,,
2021-04-03,,16.0,,1.0
2021-04-04,,9.0,,
2021-04-05,,9.0,,
2021-04-06,,11.0,,
2021-04-07,,13.0,,
2021-04-08,,1.0,,
2021-04-09,,9.0,,
2021-04-10,,1.0,1.0,
2021-04-11,,6.0,,
2021-04-12,,6.0,,
2021-04-14,,3.0,,1.0
2021-04-15,,8.0,,
2021-04-16,,4.0,,
2021-04-17,,10.0,,3.0
2021-04-18,,9.0,,
2021-04-19,,10.0,,6.0
2021-04-20,,16.0,,1.0
2021-04-21,,6.0,,1.0
2021-04-22,,11.0,1.0,
2021-04-23,,11.0,,
2021-04-24,,1.0,,8.0
2021-04-25,,6.0,,1.0
2021-04-26,,,,3.0
2021-04-27,,13.0,,6.0
2021-04-28,,6.0,,23.0
2021-04-29,,4.0,,18.0
2021-04-30,,4.0,,4.0
2021-05-01,,5.0,,13.0
2021-05-02,,8.0,,13.0
2021-05-03,,14.0,,13.0
2021-05-04,,16.0,,6.0
2021-05-05,,1.0,,20.0
2021-05-06,,1.0,,13.0
2021-05-07,,,,8.0
2021-05-08,,14.0,,5.0
2021-05-09,,,,1.0
2021-05-10,,3.0,,5.0
2021-05-11,,13.0,,23.0
2021-05-12,,,,20.0
2021-05-13,,11.0,,15.0
2021-05-14,,4.0,,11.0
2021-05-15,,,,14.0
2021-05-16,,8.0,,
2021-05-17,,4.0,,15.0
2021-05-18,,1.0,,53.0
2021-05-19,,1.0,,43.0
2021-05-20,,13.0,,24.0
2021-05-21,,3.0,,30.0
2021-05-22,,14.0,1.0,13.0
2021-05-23,,1.0,1.0,27.0
2021-05-24,,8.0,,18.0
2021-05-25,,5.0,,23.0
2021-05-26,,3.0,,10.0
2021-05-27,,9.0,,14.0
2021-05-28,,,,41.0
2021-05-29,,6.0,,48.0
2021-05-30,,,,42.0
2021-05-31,,24.0,,41.0
2021-06-01,,28.0,,11.0
2021-06-02,,14.0,,30.0
2021-06-03,,8.0,,46.0
2021-06-04,,4.0,,38.0
2021-06-05,,3.0,,29.0
2021-06-06,,9.0,,37.0
2021-06-07,,16.0,,15.0
2021-06-08,,1.0,,20.0
2021-06-09,,13.0,,8.0
2021-06-10,,9.0,,11.0
2021-06-11,,19.0,,14.0
2021-06-12,,5.0,,10.0
2021-06-13,,10.0,,20.0
2021-06-14,,10.0,,23.0
2021-06-15,,3.0,,41.0
2021-06-16,,1.0,,11.0
2021-06-17,,4.0,,5.0
2021-06-18,,8.0,,18.0
2021-06-19,,3.0,,18.0
2021-06-20,,13.0,,16.0
2021-06-21,,,,20.0
2021-06-22,,6.0,,30.0
2021-06-23,,20.0,,18.0
2021-06-24,,6.0,,10.0
2021-06-25,,3.0,,16.0
2021-06-26,,5.0,,22.0
2021-06-27,,3.0,,19.0
2021-06-28,,13.0,,19.0
2021-06-29,,9.0,,4.0
2021-06-30,,5.0,,28.0
2021-07-01,,15.0,,32.0
2021-07-02,,6.0,,14.0
2021-07-03,,20.0,,20.0
2021-07-04,,9.0,,16.0
2021-07-05,,5.0,,16.0
2021-07-06,,11.0,,6.0
2021-07-07,,3.0,,13.0
2021-07-08,,8.0,,5.0
2021-07-09,,5.0,1.0,4.0
2021-07-10,,,,14.0
2021-07-11,,,3.0,1.0
2021-07-12,,3.0,,15.0
2021-07-13,,9.0,,8.0
2021-07-14,,3.0,1.0,5.0
2021-07-15,,1.0,1.0,20.0
2021-07-16,,,,5.0
2021-07-17,,1.0,1.0,15.0
2021-07-18,,,3.0,11.0
2021-07-19,,8.0,6.0,11.0
2021-07-20,,3.0,8.0,19.0
2021-07-21,,3.0,,3.0
2021-07-22,,,6.0,10.0
2021-07-23,,,1.0,3.0
2021-07-24,,4.0,76.0,5.0
2021-07-25,,,100.0,13.0
2021-07-26,,4.0,44.0,3.0
2021-07-27,,,18.0,3.0
2021-07-28,,3.0,19.0,1.0
2021-07-29,,1.0,16.0,14.0
2021-07-30,,4.0,11.0,15.0
2021-07-31,,1.0,22.0,6.0
2021-08-01,,6.0,14.0,8.0
2021-08-02,,4.0,57.0,3.0
2021-08-03,,4.0,20.0,35.0
2021-08-04,,9.0,15.0,10.0
2021-08-05,,1.0,24.0,13.0
2021-08-06,,,18.0,5.0
2021-08-07,,6.0,22.0,25.0
2021-08-08,,1.0,28.0,27.0
2021-08-09,,,29.0,15.0
2021-08-10,,8.0,34.0,3.0
2021-08-11,,11.0,6.0,16.0
2021-08-12,,13.0,39.0,1.0
2021-08-13,,4.0,22.0,13.0
2021-08-14,,10.0,32.0,11.0
2021-08-15,,10.0,29.0,8.0
2021-08-16,,3.0,25.0,13.0
2021-08-17,,4.0,25.0,16.0
2021-08-18,,19.0,53.0,4.0
2021-08-19,,16.0,29.0,16.0
2021-08-20,,5.0,9.0,19.0
2021-08-21,,25.0,43.0,18.0
2021-08-22,,11.0,22.0,13.0
2021-08-23,,16.0,30.0,27.0
2021-08-24,,9.0,43.0,24.0
2021-08-25,,6.0,22.0,13.0
2021-08-26,,16.0,34.0,13.0
2021-08-27,,,22.0,4.0
2021-08-28,,1.0,43.0,37.0
2021-08-29,,,14.0,6.0
2021-08-30,,8.0,48.0,13.0
2021-08-31,,1.0,15.0,3.0
2021-09-01,,,15.0,4.0
2021-09-02,,1.0,23.0,4.0
2021-09-03,,8.0,29.0,11.0
2021-09-04,,3.0,11.0,8.0
2021-09-05,,6.0,30.0,16.0
2021-09-06,,3.0,48.0,3.0
2021-09-07,,5.0,32.0,11.0
2021-09-08,,8.0,14.0,15.0
2021-09-09,,3.0,18.0,4.0
2021-09-10,,1.0,8.0,6.0
2021-09-11,,4.0,28.0,19.0
2021-09-12,,16.0,46.0,9.0
2021-09-13,,10.0,35.0,4.0
2021-09-14,,3.0,23.0,9.0
2021-09-15,,20.0,32.0,6.0
2021-09-16,,18.0,27.0,10.0
2021-09-17,,11.0,37.0,10.0
2021-09-18,,11.0,14.0,6.0
2021-09-19,,30.0,32.0,6.0
2021-09-20,,13.0,27.0,16.0
2021-09-21,,25.0,29.0,22.0
2021-09-22,,8.0,35.0,22.0
2021-09-23,,15.0,18.0,16.0
2021-09-24,,9.0,44.0,9.0
2021-09-25,,4.0,39.0,10.0
2021-09-26,,6.0,29.0,16.0
2021-09-27,,1.0,1.0,32.0
2021-09-28,,5.0,5.0,22.0
2021-09-29,,11.0,20.0,28.0
2021-09-30,,22.0,22.0,30.0
2021-10-01,,5.0,15.0,32.0
2021-10-02,,8.0,5.0,15.0
2021-10-03,,3.0,16.0,43.0
2021-10-04,,10.0,3.0,3.0
2021-10-05,,15.0,9.0,11.0
2021-10-06,,10.0,8.0,6.0
2021-10-07,,1.0,13.0,6.0
2021-10-08,,14.0,3.0,23.0
2021-10-09,,11.0,,35.0
2021-10-10,,16.0,15.0,29.0
2021-10-11,,19.0,3.0,29.0
2021-10-12,,6.0,20.0,20.0
2021-10-13,,3.0,15.0,24.0
2021-10-14,,19.0,13.0,13.0
2021-10-15,,3.0,8.0,27.0
2021-10-16,,1.0,18.0,22.0
2021-10-17,,5.0,19.0,3.0
2021-10-18,,18.0,28.0,16.0
2021-10-19,,3.0,8.0,43.0
2021-10-20,,6.0,25.0,20.0
2021-10-21,,4.0,11.0,39.0
2021-10-22,,8.0,29.0,6.0
2021-10-23,,3.0,14.0,16.0
2021-10-24,,8.0,4.0,25.0
2021-10-25,,11.0,14.0,33.0
2021-10-26,,6.0,48.0,19.0
2021-10-27,,13.0,18.0,18.0
2021-10-28,,3.0,20.0,8.0
2021-10-29,,,19.0,22.0
2021-10-30,,14.0,28.0,16.0
2021-10-31,,10.0,18.0,34.0
2021-11-01,,11.0,10.0,41.0
2021-11-02,,5.0,16.0,29.0
2021-11-03,,3.0,39.0,41.0
2021-11-04,,11.0,18.0,16.0
2021-11-05,,1.0,14.0,10.0
2021-11-06,,4.0,3.0,9.0
2021-11-07,,1.0,11.0,25.0
2021-11-08,,8.0,15.0,23.0
2021-11-09,,5.0,6.0,14.0
2021-11-10,,10.0,20.0,27.0
2021-11-11,,9.0,5.0,30.0
2021-11-12,,6.0,3.0,20.0
2021-11-13,,11.0,19.0,15.0
