날짜,조던1 로우 스타피쉬,조던1 로우 울프그레이,조던1 로우 트레비스 스캇
2020-11-01,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0
2020-11-04,0.0,0.0,0.0
2020-11-05,0.0,0.0,0.0
2020-11-06,0.0,0.0,0.0
2020-11-07,0.0,0.0,0.0
2020-11-08,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0
2020-11-10,0.0,0.0,0.0
2020-11-11,0.0,0.0,0.0
2020-11-12,0.0,0.0,0.0
2020-11-13,0.0,0.0,0.0
2020-11-14,0.0,0.0,0.0
2020-11-15,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0
2020-11-21,0.0,0.0,0.0
2020-11-22,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.85763
2021-01-20,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0
2021-02-03,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0
2021-02-06,0.0,0.0,0.0
2021-02-07,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0
2021-02-09,0.0,0.0,0.0
2021-02-10,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0
2021-02-12,0.0,0.0,0.0
2021-02-13,0.0,0.0,0.0
2021-02-14,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0
2021-02-16,0.0,0.0,0.0
2021-02-17,0.0,0.0,0.0
2021-02-18,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0
2021-02-27,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0
2021-03-06,0.0,0.0,0.0
2021-03-07,0.0,0.0,0.0
2021-03-08,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0
2021-03-11,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0
2021-03-13,0.0,0.0,0.0
2021-03-14,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0
2021-03-16,0.0,0.0,0.0
2021-03-17,0.0,0.0,0.0
2021-03-18,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0
2021-03-20,0.0,0.0,0.0
2021-03-21,0.0,0.0,0.0
2021-03-22,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0
2021-03-27,0.0,0.0,0.0
2021-03-28,0.0,0.0,0.0
2021-03-29,0.0,0.0,0.0
2021-03-30,0.0,0.0,0.0
2021-03-31,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-04-02,0.0,0.0,0.0
2021-04-03,0.0,0.0,0.0
2021-04-04,0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0
2021-04-06,0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0
2021-04-08,0.0,0.0,0.0
2021-04-09,0.0,0.0,0.0
2021-04-10,0.0,0.0,0.0
2021-04-11,0.0,0.0,0.0
2021-04-12,0.0,0.0,0.0
2021-04-13,0.0,0.0,0.0
2021-04-14,0.0,0.0,0.0
2021-04-15,0.0,0.0,0.0
2021-04-16,0.0,0.0,0.0
2021-04-17,0.0,0.0,0.0
2021-04-18,0.0,0.0,0.0
2021-04-19,0.0,0.0,0.0
2021-04-20,0.0,0.0,0.0
2021-04-21,0.0,0.0,0.0
2021-04-22,0.0,0.0,0.0
2021-04-23,0.0,0.0,0.0
2021-04-24,0.0,0.0,0.0
2021-04-25,0.0,0.0,0.0
2021-04-26,0.0,0.0,0.0
2021-04-27,0.0,0.0,0.0
2021-04-28,0.0,0.0,0.0
2021-04-29,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-05-02,0.0,0.0,0.0
2021-05-03,0.0,0.0,0.0
2021-05-04,0.0,0.0,0.0
2021-05-05,0.0,0.0,0.0
2021-05-06,0.0,0.0,0.0
2021-05-07,0.0,0.0,0.0
2021-05-08,0.0,0.0,0.0
2021-05-09,0.0,0.0,0.0
2021-05-10,0.0,0.0,0.0
2021-05-11,0.0,0.0,0.0
2021-05-12,0.0,0.0,0.0
2021-05-13,0.0,0.0,0.0
2021-05-14,0.0,0.0,0.0
2021-05-15,0.0,0.0,0.0
2021-05-16,0.0,0.0,0.0
2021-05-17,0.0,0.0,0.0
2021-05-18,0.0,0.0,0.0
2021-05-19,0.0,0.0,0.0
2021-05-20,0.0,0.0,0.0
2021-05-21,0.0,0.0,0.0
2021-05-22,0.0,0.0,0.0
2021-05-23,0.0,0.0,0.0
2021-05-24,0.0,0.0,0.0
2021-05-25,0.0,0.0,0.0
2021-05-26,0.0,0.0,0.0
2021-05-27,0.0,0.0,0.0
2021-05-28,0.0,0.0,0.0
2021-05-29,0.0,0.0,0.0
2021-05-30,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-06-02,0.0,0.0,0.0
2021-06-03,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0
2021-06-05,0.0,0.0,0.0
2021-06-06,0.0,0.0,0.0
2021-06-07,0.0,0.0,0.0
2021-06-08,0.0,0.0,0.0
2021-06-09,0.0,0.0,0.0
2021-06-10,0.0,0.0,0.0
2021-06-11,0.0,0.0,0.0
2021-06-12,0.0,0.0,0.0
2021-06-13,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0
2021-06-15,0.0,0.0,0.0
2021-06-16,0.0,0.0,0.0
2021-06-17,0.0,0.0,0.0
2021-06-18,0.0,4.11663,0.0
2021-06-19,0.0,3.259,0.0
2021-06-20,0.0,2.22984,0.0
2021-06-21,0.0,1.37221,0.0
2021-06-22,0.0,6.51801,0.0
2021-06-23,0.0,1.88679,0.0
2021-06-24,0.0,6.86106,0.0
2021-06-25,0.0,4.63121,0.0
2021-06-26,0.0,3.94511,0.0
2021-06-27,0.0,5.66037,0.0
2021-06-28,0.0,7.20411,0.0
2021-06-29,0.0,6.17495,0.0
2021-06-30,0.0,5.8319,0.0
2021-07-01,0.0,4.28816,0.0
2021-07-02,0.0,4.97427,0.0
2021-07-03,0.0,2.74442,0.0
2021-07-04,0.0,3.77358,0.0
2021-07-05,0.0,5.31732,0.0
2021-07-06,0.0,4.28816,0.0
2021-07-07,0.0,2.40137,0.0
2021-07-08,0.0,6.34648,0.0
2021-07-09,0.0,5.31732,0.0
2021-07-10,0.0,3.43053,0.0
2021-07-11,0.0,3.77358,0.0
2021-07-12,0.0,4.63121,0.0
2021-07-13,0.0,14.57975,0.0
2021-07-14,0.0,22.98456,0.0
2021-07-15,0.0,13.20754,0.0
2021-07-16,0.0,9.43396,0.0
2021-07-17,0.0,30.18867,0.0
2021-07-18,0.0,13.5506,0.0
2021-07-19,0.0,13.20754,0.0
2021-07-20,0.0,8.23327,0.0
2021-07-21,0.0,8.4048,0.0
2021-07-22,0.0,6.17495,0.0
2021-07-23,0.0,4.97427,0.0
2021-07-24,0.0,9.77701,0.0
2021-07-25,0.0,7.37564,0.0
2021-07-26,0.0,6.17495,0.0
2021-07-27,0.0,4.63121,0.0
2021-07-28,0.0,3.94511,0.0
2021-07-29,0.0,4.80274,0.0
2021-07-30,0.0,3.259,0.0
2021-07-31,0.0,3.94511,0.0
2021-08-01,0.0,3.08747,0.0
2021-08-02,0.0,5.66037,0.0
2021-08-03,0.0,7.54716,0.0
2021-08-04,0.0,4.45969,1.20068
2021-08-05,0.0,6.86106,0.0
2021-08-06,0.0,8.4048,0.0
2021-08-07,0.0,5.31732,0.0
2021-08-08,0.0,6.86106,0.0
2021-08-09,0.0,6.00343,0.0
2021-08-10,0.0,13.20754,0.0
2021-08-11,0.0,8.4048,0.0
2021-08-12,0.0,6.34648,2.91595
2021-08-13,0.0,11.14922,20.58319
2021-08-14,0.0,8.74785,3.259
2021-08-15,0.0,9.77701,0.85763
2021-08-16,0.0,7.71869,0.0
2021-08-17,0.0,3.43053,0.85763
2021-08-18,0.0,7.71869,0.85763
2021-08-19,1.02915,5.66037,0.0
2021-08-20,1.02915,3.60205,0.0
2021-08-21,0.0,3.259,0.0
2021-08-22,2.05831,3.08747,0.0
2021-08-23,5.66037,3.259,0.0
2021-08-24,7.89022,3.43053,0.0
2021-08-25,8.74785,1.88679,0.0
2021-08-26,20.06861,2.40137,0.0
2021-08-27,14.75128,1.71526,0.0
2021-08-28,12.00686,2.22984,0.0
2021-08-29,12.86449,1.37221,0.0
2021-08-30,100.0,2.74442,0.0
2021-08-31,24.69982,3.77358,0.0
2021-09-01,18.35334,3.08747,0.0
2021-09-02,26.92967,3.08747,0.0
2021-09-03,13.89365,5.48885,0.0
2021-09-04,12.34991,3.60205,0.0
2021-09-05,7.20411,1.54373,0.0
2021-09-06,6.51801,2.57289,0.0
2021-09-07,7.37564,1.02915,0.0
2021-09-08,7.37564,1.37221,0.0
2021-09-09,7.54716,0.85763,0.0
2021-09-10,4.11663,2.22984,0.0
2021-09-11,3.94511,2.74442,0.0
2021-09-12,3.77358,1.37221,0.0
2021-09-13,3.259,1.20068,0.0
2021-09-14,6.86106,6.17495,0.0
2021-09-15,8.06174,7.20411,0.0
2021-09-16,7.37564,5.66037,0.0
2021-09-17,4.28816,4.45969,0.0
2021-09-18,3.60205,5.8319,0.0
2021-09-19,1.88679,6.86106,0.0
2021-09-20,2.57289,3.08747,0.0
2021-09-21,3.43053,3.43053,0.0
2021-09-22,2.40137,4.11663,0.0
2021-09-23,1.54373,6.86106,0.0
2021-09-24,2.05831,4.28816,0.0
2021-09-25,1.02915,1.54373,0.0
2021-09-26,2.74442,1.71526,0.0
2021-09-27,3.08747,3.259,0.0
2021-09-28,3.60205,2.57289,0.0
2021-09-29,3.08747,1.88679,0.0
2021-09-30,4.63121,0.0,0.0
2021-10-01,4.80274,4.28816,0.0
2021-10-02,3.60205,1.54373,0.0
2021-10-03,3.94511,1.54373,0.0
2021-10-04,4.97427,5.31732,0.0
2021-10-05,4.80274,4.28816,0.0
2021-10-06,3.60205,5.8319,0.0
2021-10-07,6.68953,4.80274,0.0
2021-10-08,7.71869,4.11663,0.0
2021-10-09,3.259,2.22984,0.0
2021-10-10,2.91595,1.37221,0.0
2021-10-11,6.00343,5.14579,0.0
2021-10-12,3.77358,4.97427,0.0
2021-10-13,3.43053,4.11663,0.0
2021-10-14,3.43053,4.45969,0.0
2021-10-15,3.08747,3.259,0.0
2021-10-16,3.08747,4.80274,0.0
2021-10-17,3.60205,3.259,0.0
2021-10-18,2.91595,2.05831,0.0
2021-10-19,3.43053,2.40137,0.0
2021-10-20,5.48885,0.0,0.0
2021-10-21,7.54716,1.71526,0.0
2021-10-22,5.31732,1.20068,0.0
2021-10-23,4.28816,1.37221,0.0
2021-10-24,2.40137,1.37221,0.0
2021-10-25,8.06174,1.54373,0.0
2021-10-26,16.63807,3.08747,0.0
2021-10-27,9.77701,5.31732,0.0
2021-10-28,8.74785,2.74442,0.0
2021-10-29,7.54716,3.60205,0.0
2021-10-30,6.00343,1.88679,0.0
2021-10-31,8.4048,1.71526,0.0
2021-11-01,6.34648,6.34648,0.0
2021-11-02,6.34648,4.63121,0.0
2021-11-03,5.14579,2.57289,0.0
2021-11-04,6.34648,2.05831,0.0
2021-11-05,4.28816,1.37221,0.0
2021-11-06,3.259,0.85763,0.0
2021-11-07,4.11663,1.02915,0.0
2021-11-08,4.80274,0.0,0.0
2021-11-09,3.60205,1.20068,0.0
2021-11-10,2.74442,1.02915,0.0
2021-11-11,3.08747,1.02915,0.0
2021-11-12,4.11663,2.74442,0.0
2021-11-13,4.63121,1.71526,0.0
